model_name,wet_bulb_temp,cold_water_temp,hot_water_temp,capacity
NSK-100,27,32,37,77.903532
NSK-125,27,32,37,97.379415
NSK-150,27,32,37,116.855298
NSK-175,27,32,37,136.331181
NSK-200,27,32,37,155.807064
NSK-225,27,32,37,175.282947
NSK-250,27,32,37,194.75883
NSK-300,27,32,37,233.710596
NSK-350,27,32,37,272.662362
NSK-400,27,32,37,311.614128
NSK-450,27,32,37,350.565894
NSK-500,27,32,37,389.51766
